sweep,energy_per_spin,abs_magnetization_per_spin
622,-1.8281250000,0.9531250000
623,-1.8593750000,0.9609375000
624,-1.8593750000,0.9609375000
625,-1.8906250000,0.9687500000
626,-1.9375000000,0.9843750000
627,-1.9375000000,0.9843750000
628,-1.8437500000,0.9531250000
629,-1.8437500000,0.9531250000
630,-1.7500000000,0.9140625000
631,-1.6718750000,0.9062500000
632,-1.5781250000,0.8750000000
633,-1.5937500000,0.8750000000
634,-1.6562500000,0.8984375000
635,-1.6406250000,0.8984375000
636,-1.5937500000,0.8593750000
637,-1.6718750000,0.8984375000
638,-1.7187500000,0.9062500000
639,-1.6250000000,0.8828125000
640,-1.7343750000,0.9296875000
641,-1.7968750000,0.9375000000
642,-1.7812500000,0.9375000000
643,-1.7343750000,0.9218750000
644,-1.6718750000,0.9062500000
645,-1.8125000000,0.9531250000
646,-1.7968750000,0.9453125000
647,-1.7656250000,0.9218750000
648,-1.7968750000,0.9375000000
649,-1.7187500000,0.9296875000
650,-1.7500000000,0.9218750000
651,-1.7812500000,0.9375000000
652,-1.7343750000,0.9296875000
653,-1.7343750000,0.9062500000
654,-1.7187500000,0.9140625000
655,-1.8593750000,0.9609375000
656,-1.8906250000,0.9687500000
657,-1.8437500000,0.9609375000
658,-1.8906250000,0.9531250000
659,-1.8437500000,0.9453125000
660,-1.7812500000,0.9140625000
661,-1.7500000000,0.9218750000
662,-1.6562500000,0.8906250000
663,-1.7187500000,0.9062500000
664,-1.9062500000,0.9765625000
665,-1.9062500000,0.9765625000
666,-1.6718750000,0.9062500000
667,-1.7031250000,0.8984375000
668,-1.7968750000,0.9218750000
669,-1.7187500000,0.8984375000
670,-1.7187500000,0.9218750000
671,-1.7031250000,0.9062500000
672,-1.7812500000,0.9375000000
673,-1.7500000000,0.9296875000
674,-1.8750000000,0.9609375000
675,-1.8750000000,0.9609375000
676,-1.6718750000,0.8984375000
677,-1.6250000000,0.8671875000
678,-1.7656250000,0.9296875000
679,-1.7656250000,0.9296875000
680,-1.8437500000,0.9531250000
681,-1.7968750000,0.9453125000
682,-1.7968750000,0.9375000000
683,-1.8593750000,0.9609375000
684,-1.8750000000,0.9609375000
685,-1.7656250000,0.9375000000
686,-1.7968750000,0.9453125000
687,-1.7500000000,0.9296875000
688,-1.7656250000,0.9218750000
689,-1.8125000000,0.9375000000
690,-1.8125000000,0.9531250000
691,-1.7500000000,0.9296875000
692,-1.7656250000,0.9375000000
693,-1.6093750000,0.8750000000
694,-1.7343750000,0.9140625000
695,-1.8125000000,0.9375000000
696,-1.9375000000,0.9843750000
697,-1.8750000000,0.9687500000
698,-1.8281250000,0.9531250000
699,-1.7812500000,0.9140625000
700,-1.7812500000,0.9453125000
701,-1.8281250000,0.9531250000
702,-1.7343750000,0.9218750000
703,-1.7656250000,0.9375000000
704,-1.7656250000,0.9140625000
705,-1.7500000000,0.9218750000
706,-1.8437500000,0.9531250000
707,-1.7968750000,0.9453125000
708,-1.8437500000,0.9609375000
709,-1.8437500000,0.9531250000
710,-1.7968750000,0.9375000000
711,-1.6718750000,0.8906250000
712,-1.6562500000,0.8906250000
713,-1.7187500000,0.8984375000
714,-1.6250000000,0.8593750000
715,-1.7968750000,0.8984375000
716,-1.8281250000,0.9375000000
717,-1.7343750000,0.8984375000
718,-1.6562500000,0.8671875000
719,-1.7812500000,0.9296875000
720,-1.7968750000,0.9218750000
721,-1.6562500000,0.8828125000
722,-1.5625000000,0.8359375000
723,-1.5312500000,0.8437500000
724,-1.5000000000,0.8593750000
725,-1.7343750000,0.9296875000
726,-1.8125000000,0.9453125000
727,-1.8125000000,0.9375000000
728,-1.7500000000,0.9140625000
729,-1.7812500000,0.9375000000
730,-1.7812500000,0.9218750000
731,-1.7500000000,0.9218750000
732,-1.7500000000,0.9062500000
733,-1.6718750000,0.8828125000
734,-1.6250000000,0.8593750000
735,-1.6250000000,0.8437500000
736,-1.6718750000,0.8906250000
737,-1.7500000000,0.9062500000
738,-1.7968750000,0.9375000000
739,-1.7812500000,0.9140625000
740,-1.7343750000,0.9140625000
741,-1.6718750000,0.8984375000
742,-1.8906250000,0.9687500000
743,-1.7968750000,0.9453125000
744,-1.7343750000,0.9140625000
745,-1.6875000000,0.8984375000
746,-1.8281250000,0.9453125000
747,-1.7187500000,0.9062500000
748,-1.7812500000,0.9218750000
749,-1.7343750000,0.9140625000
750,-1.7500000000,0.9296875000
751,-1.8125000000,0.9531250000
752,-1.7968750000,0.9453125000
753,-1.8125000000,0.9296875000
754,-1.6562500000,0.8906250000
755,-1.7187500000,0.9140625000
756,-1.6875000000,0.9062500000
757,-1.6250000000,0.8906250000
758,-1.7812500000,0.9375000000
759,-1.6718750000,0.8984375000
760,-1.7656250000,0.9375000000
761,-1.6718750000,0.8906250000
762,-1.6875000000,0.9062500000
763,-1.6250000000,0.8359375000
764,-1.7031250000,0.8515625000
765,-1.5468750000,0.8593750000
766,-1.6406250000,0.8671875000
767,-1.6406250000,0.8750000000
768,-1.6406250000,0.8750000000
769,-1.5937500000,0.8437500000
770,-1.6250000000,0.8828125000
771,-1.6875000000,0.9140625000
772,-1.8281250000,0.9531250000
773,-1.8437500000,0.9531250000
774,-1.8593750000,0.9531250000
775,-1.7656250000,0.9218750000
776,-1.7656250000,0.9140625000
777,-1.9062500000,0.9687500000
778,-1.7343750000,0.9140625000
